anio;departamento;n_municipios;area_cosechada_ha;area_sembrada_ha;produccion_t_original;rendimiento_t_ha_original;produccion_t;rendimiento_t_ha;correccion_aplicada;motivo_correccion;delta_produccion_t;delta_rendimiento_t_ha;rendimiento_medio_municipal_reportado;dif_rendimiento_calculado_vs_reportado;rendimiento_medio_t_ha;produccion_media_t;perdida_real_pct;evento_perdida_real
2009;Risaralda;14;45428.0;54252.96;53648.0;1.1809456722726073;53648.0;1.1809456722726073;0;;0.0;0.0;1.0993859501855987;0.08155972208700857;1.1849421095855788;46805.54021666667;-0.3372685703919505;0
2010;Risaralda;14;47308.0;52897.0;72091.0;1.5238648854316394;72091.0;1.5238648854316394;0;;0.0;0.0;1.4471090861369014;0.07675579929473808;1.1849421095855788;46805.54021666667;28.602475437774373;0
2011;Risaralda;14;44733.64;53235.509999999995;49042.31;1.0963183411857385;49042.31;1.0963183411857385;0;;0.0;0.0;1.0471501458797536;0.04916819530598482;1.1849421095855788;46805.54021666667;-7.479164398236768;0
2012;Risaralda;14;45588.03;52939.39;36989.412;0.8113843041693181;36989.412;0.8113843041693181;0;;0.0;0.0;0.8496094502652001;-0.03822514609588201;1.1849421095855788;46805.54021666667;-31.525405536217182;1
2013;Risaralda;14;39615.6;52272.8;39073.9321;0.9863269040479004;39073.9321;0.9863269040479004;0;;0.0;0.0;0.9260899676034209;0.06023693644447947;1.1849421095855788;46805.54021666667;-16.761595687332104;1
2014;Risaralda;14;40154.46;51032.409999999996;42719.5169;1.0638797508421232;42719.5169;1.0638797508421232;0;;0.0;0.0;1.00137116331808;0.0625085875240432;1.1849421095855788;46805.54021666667;-10.216731919991933;0
2015;Risaralda;14;41732.03;50799.82;47215.681899999996;1.131401513417871;47215.681899999996;1.131401513417871;0;;0.0;0.0;1.12542827850377;0.0059732349141010666;1.1849421095855788;46805.54021666667;-4.518414506041401;0
2016;Risaralda;14;40472.2387;50255.64;47357.0103;1.1701109654702644;47357.0103;1.1701109654702644;0;;0.0;0.0;1.1639193441164786;0.0061916213537858145;1.1849421095855788;46805.54021666667;-1.2516344887516426;0
2017;Risaralda;14;37334.16;48516.67;46779.6999;1.252999930894387;46779.6999;1.252999930894387;0;;0.0;0.0;1.1905731979756573;0.0624267329187298;1.1849421095855788;46805.54021666667;5.743556647894879;0
2018;Risaralda;14;35874.729999999996;46984.200000000004;45918.7508;1.2799748123539887;45918.7508;1.2799748123539887;0;;0.0;0.0;1.2177208587452812;0.062253953608707446;1.1849421095855788;46805.54021666667;8.02002916426412;0
2019;Risaralda;13;31819.1;40920.3;44017.9;1.3833797938973762;44017.9;1.3833797938973762;0;;0.0;0.0;1.3421464159985586;0.04123337789881765;1.1849421095855788;46805.54021666667;16.74661426128226;0
2020;Risaralda;14;34240.0;44471.0;41697.99;1.2178151285046728;41697.99;1.2178151285046728;0;;0.0;0.0;1.2164624416515972;0.0013526868530755465;1.1849421095855788;46805.54021666667;2.774229952093693;0
2021;Risaralda;14;32937.71;43386.83;36067.450000000004;1.0950199634400815;36067.450000000004;1.0950199634400815;0;;0.0;0.0;1.1121495390796665;-0.01712957563958506;1.1849421095855788;46805.54021666667;-7.588737493424608;0
2022;Risaralda;14;33376.97;43183.67;33387.59;1.0003181834660244;33387.59;1.0003181834660244;0;;0.0;0.0;1.041941641782726;-0.04162345831670167;1.1849421095855788;46805.54021666667;-15.58083931915667;1
2023;Risaralda;14;32508.96;42012.69;32344.989999999998;0.9949561597787194;32344.989999999998;0.9949561597787194;0;;0.0;0.0;1.0069280066197008;-0.011971846840981404;1.1849421095855788;46805.54021666667;-16.033352876057798;1
2024;Risaralda;14;30750.61;40856.38;41226.99;1.3406885261788302;41226.99;1.3406885261788302;0;;0.0;0.0;1.35355160418683;-0.012863078007999906;1.1849421095855788;46805.54021666667;13.143799628128845;0
