fecha;departamento;mes;anio;precipitation;temp_aire_C;humedad_relativa_pct;soil;def;pet;aet;GDD_cafe;NDVI;EVI;LST_Day_1km;LST_Night_1km;Gpp;Lai_500m;Fpar_500m;elevacion_media_m;elevacion_std_m;pendiente_media;pendiente_std;aspecto_medio;NDVI_anomalia_pct;EVI_anomalia_pct;Gpp_anomalia_pct;Lai_500m_anomalia_pct;precipitation_anomalia_pct;area_cosechada_ha;area_sembrada_ha;produccion_t;rendimiento_t_ha;rendimiento_medio_t_ha;produccion_media_t;factor_mensual;produccion_mensual_t;es_mes_cosecha;perdida_real_pct;perdida_real_mensual_pct;precio_ico_usd_ton;precio_productor_usd_ton
2002-11;Cundinamarca;11;2002;100.5234578;16.90524304;78.28915226;1116.627407;30.33899913;996.916887;966.5529536;7.942777791;0.572854972;0.372294274;23.64669672;12.38049314;0.054428099;1.856546903;0.445209655;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;-3.465715092;-3.759621576;19.85981323;-3.313705411;-46.17557307;;;;;;;;;;;;1300;1014
2002-12;Cundinamarca;12;2002;109.6111861;17.43359565;76.35644319;1101.41919;24.00797262;984.6382146;960.6022504;8.502199617;0.663775791;0.409347246;23.91813146;12.85903438;0.046643294;2.531874208;0.578274287;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;1.034788202;0.566417469;1.231862748;11.07184386;11.29843141;;;;;;;;;;;;1300;1014
2003-01;Cundinamarca;1;2003;28.47691308;18.11518103;66.57167567;546.5284441;468.1904972;1176.847671;708.6392747;8.47534503;0.645303525;0.388153666;25.11525929;12.86461915;0.057945899;2.615177024;0.600954176;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;-1.14355327;-2.174669537;8.826391632;11.99562242;-54.42642418;;;;;;;;;;;;1500;1170
2003-02;Cundinamarca;2;2003;70.55135357;18.22220967;71.80512493;372.9631663;478.6481089;1059.644412;580.9976416;9.021628709;0.560838681;0.341148562;26.01953683;13.03366323;0.046391965;1.855858707;0.456118598;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;0.027508598;-2.731294208;-1.837284963;3.685662864;-13.57583823;;;;;;;;;;;;1500;1170
2003-03;Cundinamarca;3;2003;129.0367137;17.68661539;75.87966776;588.575597;44.70814176;1100.558953;1055.832595;8.756886509;0.551247641;0.350174987;26.13825088;12.97836802;0.045348711;1.913482055;0.451085574;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;6.0374487;3.434291586;4.36259629;19.39221384;-9.169315772;;;;;;;;;;;;1500;1170
2003-04;Cundinamarca;4;2003;207.7111325;17.23774496;82.78573296;1125.483066;0;925.0533229;925.0326766;8.562654946;0.488467023;0.321263536;24.82406391;9.483614782;0.04493254;1.712710924;0.387281109;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;-6.159873861;-8.935685757;1.410213064;13.15405813;-1.315227495;;;;;;;;;;;;1500;1170
2003-05;Cundinamarca;5;2003;135.8064972;17.28984159;80.17682418;1105.472946;21.36704227;930.1832551;908.8129769;8.639142665;0.51099251;0.347856717;24.08671235;10.97667638;0.049869875;1.663823711;0.388979547;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;-1.017350688;1.017907207;4.157703973;5.029380636;-35.29557311;;;;;;;;;;;;1500;1170
2003-06;Cundinamarca;6;2003;163.5779266;16.75090272;80.88228423;1193.861845;0;822.0750133;821.8570209;7.274015532;0.563225439;0.35543425;23.33723135;12.44509432;0.053718986;1.695543193;0.404543456;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;6.602688073;1.878493698;6.254953989;-3.478391266;4.407203791;;;;;;;;;;;;1500;1170
2003-07;Cundinamarca;7;2003;113.6996529;16.75879974;77.86337824;1052.010994;82.57668485;909.82411;827.0261612;7.628707586;0.430220323;0.289909422;23.62647573;11.04895401;0.05281634;1.748476048;0.40425877;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;-16.39696233;-15.22258372;3.572981862;2.516480507;-14.3893515;;;;;;;;;;;;1500;1170
2003-08;Cundinamarca;8;2003;119.9976747;17.18799536;75.39951622;1056.814307;27.7106074;1025.564257;997.7246945;8.082221018;0.486796954;0.327815945;26.78913541;12.18462533;0.052874847;1.437889118;0.363505587;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;-9.459665695;-7.54075474;3.254724909;-13.02070973;-3.626583827;;;;;;;;;;;;1500;1170
2003-09;Cundinamarca;9;2003;150.8667437;17.17376202;77.09088311;1108.237912;12.29550309;1017.772197;1005.378608;7.8974758;0.409007274;0.298786569;26.91084308;10.10375814;0.0470763;1.204198937;0.320114402;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;-26.75884331;-20.22080895;-5.854563836;-32.4986325;18.51110834;;;;;;;;;;;;1500;1170
2003-10;Cundinamarca;10;2003;205.5132132;16.89015401;84.23428537;1185.428417;0;809.6251161;809.5591157;7.786082061;0.630194397;0.370968681;24.22885638;12.82814932;0.041811799;1.65536156;0.409758076;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;11.35073952;-1.428506394;-7.902383369;-7.06721866;-1.41537488;;;;;;;;;;;;1500;1170
2003-11;Cundinamarca;11;2003;197.4286112;16.89937803;83.0551453;1194.124072;0;891.8372879;891.7591379;7.591185848;0.607115888;0.390441081;22.08101067;12.02895603;0.048686528;2.188820767;0.514143075;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;2.307741096;0.931440548;7.215910255;13.99063987;5.711463657;;;;;;;;;;;;1500;1170
2003-12;Cundinamarca;12;2003;91.91945214;16.82336973;80.77873448;1182.453518;6.784747203;877.6466239;870.8163637;7.835511907;0.585998846;0.370554359;22.19631841;12.12807059;0.042681412;1.809636369;0.442748324;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;-10.80381342;-8.964028191;-7.366773874;-20.61230861;-6.665631451;;;;;;;;;;;;1500;1170
2004-01;Cundinamarca;1;2004;45.20884953;17.28204976;74.80625124;852.9894903;195.3847305;967.9004693;772.3868706;7.628524152;0.643198169;0.382228146;23.48757772;12.2325055;0.052057325;2.269561128;0.550328917;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;-1.466080521;-3.668062396;-2.232757219;-2.805466383;-27.64914772;;;;;;;;;;;;1800;1404
2004-02;Cundinamarca;2;2004;80.51956301;17.74562953;65.5030305;997.3156292;12.25093901;1082.998074;1070.664384;8.226317785;0.586722611;0.361531213;26.60075133;12.71522432;0.053084905;2.110760212;0.50901441;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;4.64399646;3.080232831;12.32458938;17.92685018;-1.364957765;;;;;;;;;;;;1800;1404
2004-03;Cundinamarca;3;2004;100.9419324;18.03437449;73.00532875;817.6339106;151.8414648;1063.382718;911.5490467;8.69713613;0.577545077;0.386946181;26.10672843;13.48429593;0.046668802;1.841621263;0.455534507;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;11.09599735;14.29572526;7.400567691;14.9084409;-28.94561146;;;;;;;;;;;;1800;1404
2004-04;Cundinamarca;4;2004;218.1598089;17.39967535;81.56404376;1194.124072;0;808.8786836;808.8242053;8.144853729;0.460140366;0.304886149;23.65498082;11.38399025;0.040952334;1.33380247;0.326264527;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;-11.60175009;-13.57796666;-7.572886996;-11.87937198;3.648999698;;;;;;;;;;;;1800;1404
2004-05;Cundinamarca;5;2004;252.2628243;16.95306566;85.28362607;1194.124072;0;817.7837784;817.717111;7.892604085;0.520857691;0.340209088;23.10644243;6.433407306;0.045830534;1.699263791;0.397188159;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;0.893600541;-1.202971421;-4.27882329;7.266546512;20.18954768;;;;;;;;;;;;1800;1404
2004-06;Cundinamarca;6;2004;165.8276697;16.66844242;77.53926242;1174.668668;11.32202555;915.0208408;903.6271966;8.109652905;0.590232995;0.374807642;22.10381851;12.56600841;0.052522714;1.955644399;0.444840685;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;11.71445641;7.4315096;3.888754392;11.32830133;5.843151729;;;;;;;;;;;;1800;1404
2004-07;Cundinamarca;7;2004;162.8914078;16.5075898;77.70478279;1143.728574;21.55743224;902.9708531;881.130107;7.361747703;0.43416937;0.296364366;22.73945103;11.59478106;0.052739775;1.675413332;0.399541298;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;-15.6295594;-13.33498206;3.422837224;-1.767325651;22.64979448;;;;;;;;;;;;1800;1404
2004-08;Cundinamarca;8;2004;102.9956983;17.07236243;72.94889626;989.2221097;111.5203524;994.9458434;883.2743407;7.910626454;0.464607847;0.309821481;24.44021271;11.20275653;0.051067828;1.456853946;0.370352259;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;-13.58666188;-12.61602509;-0.274047518;-11.87350908;-17.2813363;;;;;;;;;;;;1800;1404
2004-09;Cundinamarca;9;2004;150.724227;17.08007424;76.68306675;1096.71401;3.689603831;922.2453764;918.4029786;7.558095108;0.525637083;0.346594786;23.85381582;12.0180987;0.04710636;1.561398135;0.390877798;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;-5.873879486;-7.455506641;-5.794447603;-12.47583264;18.39915649;;;;;;;;;;;;1800;1404
2004-10;Cundinamarca;10;2004;228.7701509;16.89158472;82.00576298;1194.12169;0;920.7059977;920.6853515;8.206531156;0.595994237;0.399596705;23.37134342;10.40257397;0.046361463;1.814953619;0.429173019;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;5.307821444;6.178354126;2.119025098;1.892355062;9.740971003;;;;;;;;;;;;1800;1404
2004-11;Cundinamarca;11;2004;196.0673316;16.83664076;83.59182402;1194.124072;0;877.1522659;877.0887033;7.66857545;0.60945799;0.385628306;21.56491448;12.3998899;0.046711729;1.963649216;0.49103084;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;2.702418889;-0.31269169;2.867071526;2.264029113;4.982578109;;;;;;;;;;;;1800;1404
2004-12;Cundinamarca;12;2004;83.77963108;17.02313003;79.88400171;1180.939669;7.672300704;900.5954213;892.8439225;7.669302237;0.644943052;0.406623107;22.43943856;12.38195987;0.047106048;2.237497663;0.539002565;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;-1.831784835;-0.102835716;2.236195492;-1.842283382;-14.9307488;;;;;;;;;;;;1800;1404
2005-01;Cundinamarca;1;2005;71.76294458;17.26879319;77.58981187;978.4404078;120.7632831;925.2939784;804.4570439;7.818848814;0.653192388;0.39456807;23.35979504;12.41148188;0.050504263;2.323522808;0.560998477;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;0.064971031;-0.558064406;-5.149514859;-0.49454368;14.84720926;;;;;;;;;;;;2150;1677
2005-02;Cundinamarca;2;2005;90.37301517;17.83940942;74.90289575;1002.854682;20.63724579;908.2817336;887.5973311;8.273564889;0.58268986;0.349153109;24.1543328;12.26451758;0.049101705;1.718804961;0.447323751;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;3.924741549;-0.449027719;3.896368357;-3.971444025;10.70534706;;;;;;;;;;;;2150;1677
2005-03;Cundinamarca;3;2005;94.40409642;18.25187949;71.15014845;924.5351899;83.04788734;1147.981605;1064.935028;8.758263652;0.590207982;0.373797875;26.53022191;13.32998529;0.051709452;2.051498259;0.488284638;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;13.53182112;10.41199345;19.00079495;28.00377103;-33.54768246;;;;;;;;;;;;2150;1677
2005-04;Cundinamarca;4;2005;198.2814213;17.69478648;82.03528611;1147.481176;0;878.8645766;878.8577118;8.790645075;0.491754216;0.344181961;25.84919589;8.458928839;0.045381531;1.225150593;0.314893308;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;-5.528366316;-2.439303959;2.423560566;-19.05770002;-5.795338382;;;;;;;;;;;;2150;1677
2005-05;Cundinamarca;5;2005;267.4753073;17.13854303;84.03089149;1193.960768;0;907.6601631;907.6198871;8.156786057;0.582851921;0.370552749;23.2910685;11.93202642;0.048497583;1.92858748;0.459796435;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;12.90229533;7.608855524;1.2915488;21.74267453;27.4374704;;;;;;;;;;;;2150;1677
2005-06;Cundinamarca;6;2005;139.0480545;17.15865476;80.27524913;1189.935516;2.440880323;853.4461372;850.9011165;7.899541813;0.578032223;0.380407695;22.51902828;8.971023202;0.053365743;1.591299144;0.400102623;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;9.405194595;9.036658684;5.556246735;-9.412656657;-11.24952575;;;;;;;;;;;;2150;1677
2005-07;Cundinamarca;7;2005;121.9264379;17.00730353;76.73568541;1068.711977;71.86622436;961.1532903;889.1450993;8.114157753;0.448197013;0.298161137;22.68212239;11.72006238;0.053227148;1.677124206;0.40513627;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;-12.90362218;-12.80955725;4.378577059;-1.667013841;-8.1949579;;;;;;;;;;;;2150;1677
